interval,flow_id,source_terminal,destination_terminal,offered_gbit
639,5001,0,1,2.757369004
639,5002,2,3,2.087354106
640,5001,0,1,2.757369004
640,5002,2,3,2.070174237
641,5001,0,1,2.757369004
641,5002,2,3,2.070174237
642,5001,0,1,2.757369004
642,5002,2,3,2.070174237
643,5001,0,1,2.757369004
643,5002,2,3,2.070174237
644,5001,0,1,2.757369004
644,5002,2,3,2.070174237
645,5001,0,1,2.757369004
645,5002,2,3,2.070174237
646,5001,0,1,2.757369004
646,5002,2,3,2.070174237
647,5001,0,1,2.757369004
647,5002,2,3,2.070174237
648,5001,0,1,2.757369004
648,5002,2,3,2.070174237
649,5001,0,1,2.757369004
649,5002,2,3,2.070174237
650,5001,0,1,2.765958939
650,5002,2,3,2.078764171
651,5001,0,1,2.765958939
651,5002,2,3,2.078764171
652,5001,0,1,2.765958939
652,5002,2,3,2.078764171
653,5001,0,1,2.765958939
653,5002,2,3,2.078764171
654,5001,0,1,2.765958939
654,5002,2,3,2.078764171
655,5001,0,1,2.765958939
655,5002,2,3,2.078764171
656,5001,0,1,2.765958939
656,5002,2,3,2.078764171
657,5001,0,1,2.765958939
657,5002,2,3,2.078764171
658,5001,0,1,2.765958939
658,5002,2,3,2.078764171
659,5001,0,1,2.765958939
659,5002,2,3,2.078764171
660,5001,0,1,2.774548873
660,5002,2,3,2.087354106
661,5001,0,1,2.774548873
661,5002,2,3,2.087354106
662,5001,0,1,2.774548873
662,5002,2,3,2.087354106
663,5001,0,1,2.774548873
663,5002,2,3,2.087354106
664,5001,0,1,2.774548873
664,5002,2,3,2.087354106
665,5001,0,1,2.774548873
665,5002,2,3,2.087354106
666,5001,0,1,2.774548873
666,5002,2,3,2.087354106
667,5001,0,1,2.774548873
667,5002,2,3,2.087354106
668,5001,0,1,2.774548873
668,5002,2,3,2.087354106
669,5001,0,1,2.774548873
669,5002,2,3,2.087354106
670,5001,0,1,2.783138808
670,5002,2,3,2.070174237
671,5001,0,1,2.783138808
671,5002,2,3,2.070174237
672,5001,0,1,2.783138808
672,5002,2,3,2.070174237
673,5001,0,1,2.783138808
673,5002,2,3,2.070174237
674,5001,0,1,2.783138808
674,5002,2,3,2.070174237
675,5001,0,1,2.783138808
675,5002,2,3,2.070174237
676,5001,0,1,2.783138808
676,5002,2,3,2.070174237
677,5001,0,1,2.783138808
677,5002,2,3,2.070174237
678,5001,0,1,2.783138808
678,5002,2,3,2.070174237
679,5001,0,1,2.783138808
679,5002,2,3,2.070174237
680,5001,0,1,2.774548873
680,5002,2,3,2.087354106
681,5001,0,1,2.774548873
681,5002,2,3,2.087354106
682,5001,0,1,2.774548873
682,5002,2,3,2.087354106
683,5001,0,1,2.774548873
683,5002,2,3,2.087354106
684,5001,0,1,2.774548873
684,5002,2,3,2.087354106
685,5001,0,1,2.774548873
685,5002,2,3,2.087354106
686,5001,0,1,2.774548873
686,5002,2,3,2.087354106
687,5001,0,1,2.774548873
687,5002,2,3,2.087354106
688,5001,0,1,2.774548873
688,5002,2,3,2.087354106
689,5001,0,1,2.774548873
689,5002,2,3,2.087354106
690,5001,0,1,2.783138808
690,5002,2,3,2.104533975
691,5001,0,1,2.783138808
691,5002,2,3,2.104533975
692,5001,0,1,2.783138808
692,5002,2,3,2.104533975
693,5001,0,1,2.783138808
693,5002,2,3,2.104533975
694,5001,0,1,2.783138808
694,5002,2,3,2.104533975
695,5001,0,1,2.783138808
695,5002,2,3,2.104533975
696,5001,0,1,2.783138808
696,5002,2,3,2.104533975
697,5001,0,1,2.783138808
697,5002,2,3,2.104533975
698,5001,0,1,2.783138808
698,5002,2,3,2.104533975
699,5001,0,1,2.783138808
699,5002,2,3,2.104533975
700,5001,0,1,2.774548873
700,5002,2,3,2.070174237
701,5001,0,1,2.774548873
701,5002,2,3,2.070174237
702,5001,0,1,2.774548873
702,5002,2,3,2.070174237
703,5001,0,1,2.774548873
703,5002,2,3,2.070174237
704,5001,0,1,2.774548873
704,5002,2,3,2.070174237
705,5001,0,1,2.774548873
705,5002,2,3,2.070174237
706,5001,0,1,2.774548873
706,5002,2,3,2.070174237
707,5001,0,1,2.774548873
707,5002,2,3,2.070174237
708,5001,0,1,2.774548873
